A337029,P0002,28/07/2015 10:37:45 AM
A693098,P0001,28/07/2015 10:38:18 AM
A642194,P0003,28/07/2015 10:38:31 AM
A479287,P0004,28/07/2015 10:38:37 AM
A1753250,P0005,28/07/2015 10:38:51 AM
A1569404,P0006,28/07/2015 10:39:20 AM
A1752379,P0008,28/07/2015 10:39:48 AM
A1004853,P0007,28/07/2015 10:41:43 AM
A406504,P0014,28/07/2015 10:44:08 AM
A1753954,P0020,28/07/2015 10:44:34 AM
A1660391,,28/07/2015 10:44:55 AM
A1660391,P0026,28/07/2015 10:44:59 AM
A1660416,P0025,28/07/2015 10:45:16 AM
A1025118,P0041,28/07/2015 10:45:54 AM
A1321032,P0032,28/07/2015 10:46:12 AM
A1464674,P0050,28/07/2015 10:46:26 AM
A1560797,P0043,28/07/2015 10:46:37 AM
A1804734,P0046,28/07/2015 10:47:14 AM
A1686540,P0064,28/07/2015 10:48:00 AM
A1057928,P0061,28/07/2015 10:48:18 AM
A1687376,P0065,28/07/2015 10:48:33 AM
